Judge,Teams ,Marks ,,,,,,Z-Score
,,Alignment with Proposal & Agent Execution (30 Marks) ,Technical Quality & Agent Performance (40 Marks), Video Pitching & Technical Demo (20 Marks) ," Forward Thinking & Scaling (10 Marks) 
",Light Validation-GitHub Check (No Score),Total ( 100 Marks ),
,,,,,,,,
Ms. Mudara Bandaranayake,EMBERWOLVES,25,31,15,7,OK,78,
,RovioTek,25,27,10,3,OK,65,
,IGI 2.0 Solutions,25,34,17,4,OK,80,
,Ryzera,28,30,15,5,All commits on 3rd August,78,
,ISUSI,20,21,11,3,All commits on 3rd August,55,
,Scorpions,25,29,16,5,OK,75,
,Gmora,26,35,15,4,OK,80,
,,,,,,,,
Mr. Supun Wanniarachchi,AlgoStrom,,,,,,,
,TheKade,,,,,,,
,PromptStorm ,,,,,,,
,CampusEase,,,,,,,
,Xplorers,,,,,,,
,Visual Vibers,,,,,,,
,Rexosphere ,,,,,,,
,,,,,,,,
Mr. Dineth Siriwardana ,Nexio,27,37,10,8,Clean repository with comprehensive documentation.,82,
,Black Cap Xtreme,26,36,15,9,Encountered difficulties with repository initialization. Note: Only one contributor.,86,
,LUMORA,25,35,13,9,"Good repository, but frontend and backend should ideally be separated.",82,
,TEAM ONYX,28,38,15,6,"Clean and well-maintained repository, though it has only one contributor.",87,
, CodeNova,24,36,8,8,Frontend and backend should ideally be separated. Note: Only two contributors.,76,
,DataSync ,28,38,18,9,Frontend and backend should ideally be separated. Note: Only two contributors.,93,
,TerraBytes,26,36,18,8,"Clean repository with three contributors and a good approach, but combining all services into a single repository is not recommended.",88,
,,,,,,,,
Mr. Kushen De Silva,Quantum Ciphers,10,10,5,1,"This is a poor idea overall. It literally doesn’t solve any existing issues. A simple AI model or algorithm could solve this far better than this. According to the proposal, they’re supposed to create a Flutter app, but this looks like an AI-generated web app. Poor effort overall.",26,
,Ctrl Freaks,10,10,10,1,"This is an existing idea just rebuilt using LangGraph. Poor effort. I don’t see any real benefit or evidence of solving a genuine problem, but rather an attempt to generate revenue since this is a niche area where customers will always be available. Although they mentioned that the system is PDPA-compliant, how the data is handled and everything else is clearly not compliant at all.",31,
,STEVEN,20,5,0,0,"This is just an absolute low-effort project. They haven’t even put much effort into the demo. Although I praised the originality, I don’t see this being very useful to the customer since this can already be achieved with Meta AI in WhatsApp. The data governance is also very lacking, especially considering that the PDPA Act has now been gazetted by the government.",25,
,OC-G9 Zigmosis,5,5,5,0,"Good idea. However, I would rather ask the customer to onboard using an image of the pet, which could then use a vision API to detect details such as the dog breed. The same images could be used for missing and found pets, and the community could post pictures of dogs they find, while the vision API could try to determine whether they are a match. Here, however, it is essentially just a community platform with no AI usage that actually improves the solution. Very poor effort overall.",15,
,Ceylon Xzora,25,25,15,5,"Good idea, and as they explained themselves, this is more of an agent than an AI solution. However, compared to the others, this is actually useful to the end user.",70,
,,,,,,,,
Mr. Yashod Perera,Just4Fun,29,33,11,10,,83,
,Venoa,22,23,11,9,,65,
,TeaM MobiX,16,24,8,6,,54,
,Wakka Wakka ,16,23,11,8,,58,
,Procrastinators,25,31,14,9,,79,
,SUDO TEAM,29,39,16,10,,94,
,,,,,,,,
Mr. Rasike Abeyratne,Knurdz Neural,,,,,,,
,AIvengers,,,,,,,
,BuildStart,,,,,,,
,intelli Coders,,,,,,,
,,,,,,,,
Mr. Lakshith Withana,Infinit,,,,,,,
,BitCraze,,,,,,,
,T4D,,,,,,,
,Aviate,,,,,,,
,Team 7,,,,,,,
,,,,,,,,
Mr. Gayathra Ranasinghe,TheDarkCode,25,31,18,5,ok,79,
,T-REX,20,32,15,5,ok,72,
,Team Nai Miris,28,35,18,8,ok,86,
,Semaphore,17,25,18,5,ok,65,
,Findora,27,30,15,2,ok,74,
,ThinkSync,,,,,,,
,,,,,,,,
Mr. Nuwan Waidyanatha,Code Crew,,,,,,,
,Invictus,,,,,,,
,Asyncs,,,,,,,
,Neek,,,,,,,
,Stellarix,,,,,,,
,,,,,,,,
Mr. Vimuthu Thesara,OdyC,8,15,12,3,Flagged,38,
,Supernova,19,26,13,7,Flagged,65,
,ByteBloom,21,30,13,6,Good,70,
,Code_Crafters,22,29,12,7,Good,70,
,Cyber_Dynamo,18,22,15,8,Good,63,
,TheByteForce,19,28,12,6,Good,65,
,Falcon_Code,18,34,18,8,Good,78,
,,,,,,,,
Mr. Sahan Ravindu,Viberz,26,35,16,7,"Need to improve the architecture
Need to improve maintaining GitHub flow",84,
,Zatroz,24,36,17,8,"Need to improve the architecture
Need to improve maintaining GitHub flow",85,
,HackTheThrone,,,,,,,
,,,,,,,,
Mr. Jayanga Kaushalya,Zenith,21,29,15.5,6.5,"CONCERN - timeline not verifiable. 26 commits, but the entire 92-file application lands in ONE commit on 01-Aug; only ~25h of visible history. 4 contributors, real branches/PRs, and later commits are incremental debugging (genuine work). Stack matches proposal (Flask, SQLite, Gemini, Meta WhatsApp API, APScheduler); IndicBERT and RAG absent. 24 tests pass. No secrets committed.",72,
,SustainX,10,19,12.5,4,"PASS - cleanest timeline in the field. 21 commits over 9 days, 3 real contributors, 3 merged PRs, a revert, and specific bugfix commits. BUT code does not match proposal: Google ADK, pgvector, Celery, ClickHouse, Docker all absent (no trace of them anywhere in the codebase - never started). Next.js proposed, Vite/React built. No tests, no CI. No secrets.",45.5,
,HyperNova,18,28.5,14.5,5.5,"PASS with note - strongest real timeline. 106 commits 18-Jun to 01-Aug; the apparent gap is filled by branch origin/risikesan with genuine incremental commits, plus an abandoned Python agent-runtime later rewritten in Node. Google ADK genuinely used. Qdrant->ChromaDB and Ollama->RunPod pivots undocumented; Terraform absent. FLAG: hardcoded PayHere merchant secret in paymentController.js (sandbox).",66.5,
,Esynex,21,30,16,8,"CONCERN - backend is a 2-commit bulk dump (""entire backend"", ""add main stuff""); no incremental history for ~5,600 LOC. Frontend has genuine Apr-Jun iteration but was scaffolded in v0.dev (package name still ""my-project"") and ~10.5k lines land on 03-Aug. Single author across both repos despite a team entry. Stack pivoted off Azure entirely. No tests, no CI. No secrets found.",75,
